name,price,url,image_url
"Burt's Bees Toothpaste, Natural Flavor, Charcoal with Fluoride Toothpaste, Mountain Mint, 4.7 oz","$497
current price $4.97
$1.06/oz",https://www.walmart.com/ip/Burt-s-Bees-Toothpaste-Natural-Flavor-Charcoal-with-Fluoride-Toothpaste-Mountain-Mint-4-7-oz/289820336?classType=VARIANT&athbdg=L1200,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Natural-Flavor-Charcoal-with-Fluoride-Toothpaste-Mountain-Mint-4-7-oz_9d9ab036-90f1-4ba2-885c-e77f19ce648d.4f38c692689e5945ad42da94a569b12c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Fluoride Free, Purely White, Zen Peppermint, 4.7 oz",,No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Fluoride-Free-Purely-White-Zen-Peppermint-4-7-oz_1c37c032-8e53-41e8-9437-cd16fd21ddcb.41576c975c6b1fe1ee5ed6f89ce432b4.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Fluoride Free, Purely White, Zen Peppermint, 4.7 oz, Pack of 3","$2059
current price $20.59
$4.38/oz",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Fluoride-Free-Purely-White-Zen-Peppermint-4-7-oz-Pack-of-3_3352d6d0-834a-4513-b938-d2e7f47aa0aa.7f7a40235fa7d5e4c703c7e2978b1471.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Toothpaste, Fluoride Free, Charcoal, Zen Peppermint (4.7 oz., 4 pk.)","$2754
current price $27.54",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Fluoride-Free-Charcoal-Zen-Peppermint-4-7-oz-4-pk_7241e4c0-3540-4065-bd28-06f08a7a160a.f08e4b70e6309716eee71ea04cc28c9a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Fluoride Free, Charcoal, Zen Peppermint, 4.7oz","Now$882
current price Now $8.82
$9.89
Was $9.89
$1.88/oz",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Fluoride-Free-Charcoal-Zen-Peppermint-4-7oz_16ea6c4f-5e3d-4f0d-9962-659c04110f12.40a93400e16320e6674b628f9b01f7e5.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Complete Multi-Care Fluoride Toothpaste Natural Peppermint, 4.7 Oz",,No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Complete-Multi-care-Toothpaste-Natural-Peppermint-4-7-Oz_c488ecce-a602-4c36-8e13-5a7e2c149e2f.ec15ade336305bd699237f26414f3091.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste Complete Multi Care, 4.7 oz, Pack of 3","$1600
current price $16.00",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Complete-Multi-Care-4-7-oz-Pack-of_0ff2803f-6b62-488e-b2da-ca882dda00ec.205e2288a37814ec6e55cba918f2c812.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Kids Fluoride-Free Toothpaste, Bubblegum Flavor, 4.7 OZ Pack Of 2","Now$1568
current price Now $15.68
$19.85
Was $19.85",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Kids-Fluoride-Free-Toothpaste-Bubblegum-Flavor-4-7-OZ-Pack-Of-2_157c45ee-ee27-4d05-bd91-2d7457be6d00.9efb27332d0b5afe6781d1e0fc50c93c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Extra White Fluoride Toothpaste, Zen Peppermint, 4.7 Oz","$877
current price $8.77
$1.87/oz",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Extra-White-Fluoride-Toothpaste-Zen-Peppermint-4-7-Oz_b104f611-3de5-4397-abad-ee5bd8344791_1.7294685afa2a6632cdb69233109e678f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Kids Toothpaste, Strawberry Flavor, with Fluoride, Strawberry Splash, 4.7 oz, Pack of 4","$3329
current price $33.29",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Kids-Toothpaste-Strawberry-Flavor-with-Fluoride-Strawberry-Splash-4-7-oz-Pack-of-4_81a26b45-cf31-4af6-bfa4-6a503b7e9b12.3f5333ddf7b2f3f185306517bab18bb1.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burt's Bees Kids Fluoride Toothpaste - Strawberry Splash - 4.7 oz,,No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Kids-Fluoride-Toothpaste-Strawberry-Splash-4-7-oz_a0524394-8758-4982-a7b1-6904ac8b9d5a.3d4fcc33d5871c341466c8dc71895d03.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Zen Peppermint Charcoal Whitening Fluoride Free Toothpaste, 4.7 Oz..","$901
current price $9.01",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Zen-Peppermint-Charcoal-Whitening-Fluoride-Free-Toothpaste-4-7-Oz_138bd1a5-8e87-45e5-9aee-483e687034a0.13087409cdb4c64fb8235089eb02cf63.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burts Bees Toothpaste Extra White 4.7oz Mountain Mint (Pack of 3),"$2312
current price $23.12",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Toothpaste-Extra-White-4-7oz-Mountain-Mint-Pack-of-3_c6c33db9-3087-416e-b58c-8d84604bf623.1e4f902e7e6c74d8e0926acbead052b2.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Natural Flavor, Fluoride-Free, Purely White, Zen Peppermint, 4.7 oz, Pack of 3","$2699
current price $26.99",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Natural-Flavor-Fluoride-Free-Purely-White-Zen-Peppermint-4-7-oz-Pack-of-3_387227d3-0ea8-4cce-9a30-dfee79cc5392.9650f5ad3e29c9fa5ec018d0accac95c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste Complete Multi Care, 4.7 oz, Pack of 6",,No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Complete-Multi-Care-4-7-oz-Pack-of-6_7d3bf373-0d80-4f69-9a36-66fbf61b0e40.f644caf2dc06126f52c746c393036e36.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burt's Bees Kids Fluoride-Free Toothpaste - Bubble Bee Bubblegum - 4.7 oz- Pack of 2,,No URL found,https://i5.walmartimages.com/seo/Pack-of-2-Burt-s-Bees-Kids-Fluoride-Free-Toothpaste-Bubble-Bee-Bubblegum-4-7-oz-Package-May-Vary_1c267f5a-1164-4e8a-8888-5ab59582726b.f215635da164f1bcafa2fa594712f5ef.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt,S Bees Extra White Toothpaste, Fluoride Toothpaste, Natural Flavor, Mountain Mint, 4.7 Oz, Pack Of 3","$2550
current price $25.50",No URL found,https://i5.walmartimages.com/seo/Burt-S-Bees-Extra-White-Toothpaste-Fluoride-Toothpaste-Natural-Flavor-Mountain-Mint-4-7-Oz-Pack-Of-3_407e1c64-3b1b-4f9c-8e99-826c93c3e23b.0bcdf4989047daf509df07796c82f20e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"(3 Pack) Burt's Bees Toothpaste, Natural Flavor, Charcoal with Fluoride Toothpaste, Mountain Mint, 4.7 oz",,No URL found,https://i5.walmartimages.com/seo/3-Pack-Burt-s-Bees-Toothpaste-Natural-Flavor-Charcoal-with-Fluoride-Toothpaste-Mountain-Mint-4-7-oz_236fabf2-1d54-458e-adb2-a6a286aa8a73.d7e2039e95134553297f48f1a6f87771.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
